age_days,ufc_draws,avg_takedowns_att_per_min,avg_sig_strikes_per_min,non_ufc_wins,avg_fight_duration_mins,id,avg_sig_strikes_att_per_min,non_ufc_losses,height_inches,avg_takedowns_per_min,ufc_wins,result,weight_lbs,ufc_losses,reach_inches,avg_knockdowns_per_min,elo,avg_submission_att_per_min,is_orthodox,non_ufc_draws
1627,0,0.0,0.0,-4,0.0,54,0.0,0,5,0.0,0,1,10,0,3,0.0,0.0,0.0,0,0
554,0,0.0,4.53781512605042,-1,1.9833233333333333,55,10.084033613445378,3,-1,0.0,1,1,9,0,0,1.0084033613445378,289.7489982309878,0.0,0,-1
1711,0,0.0,0.0,-21,0.0,56,0.0,-4,0,0.0,0,1,12,0,3,0.0,108.49444429169966,0.0,1,-2
-98,0,0.817717206132879,7.768313458262351,-4,9.783323333333334,57,12.470187393526405,-4,1,0.6132879045996593,2,1,0,0,2,0.20442930153321975,290.2060392376459,0.30664395229982966,0,0
-2906,0,1.2076852698993596,5.559543016375671,4,0.7249999999999996,58,9.313233135496265,0,-2,0.5489478499542544,2,1,0,0,0,0.10978956999085088,39.94624900156282,0.6587374199451053,-1,-1
-2481,0,-1.0459563543003851,6.421908429610614,-6,-8.508333333333333,59,10.45288831835687,-4,-1,-0.44595635430038505,-1,1,15,1,0,0.0,28.327961165966144,-0.13333333333333333,0,0
1439,0,0.0,0.0,-6,0.0,60,0.0,-1,7,0.0,0,1,35,0,9,0.0,0.0,0.0,-1,0
-8,0,0.0,0.0,1,0.0,61,0.0,0,-2,0.0,0,1,-10,0,-7,0.0,128.01299996057696,0.0,0,0
-638,0,0.0,0.0,3,0.0,62,0.0,-7,-1,0.0,0,1,-10,0,-1,0.0,-13.154078183180445,0.0,0,1
-1467,0,0.0,25.263157894736842,-8,1.8999899999999998,63,29.47368421052632,-3,2,0.0,2,1,0,0,3,1.5789473684210527,47.725362144196424,0.0,-1,-2
1266,0,1.9130287648054147,28.15228426395939,2,-8.433333333333334,64,54.85549915397631,0,1,1.3038917089678512,3,1,15,2,3,0.6091370558375635,-12.45112941530465,0.0,0,0
-1060,0,-0.13333333333333333,-0.8,-22,-14.99999,65,-2.0,-5,-2,-0.06666666666666667,0,1,-10,-1,4,0.0,0.0,-0.06666666666666667,1,-7
-827,0,0.40268456375838924,-1.0416666666666667,15,2.6500000000000004,66,-0.6669463087248322,2,-3,0.0,-1,1,0,1,-2,0.0,7.119759796203198,-0.4907718120805369,-1,0
249,0,0.0,-0.2061855670103093,-8,-4.84999,67,-0.6185567010309279,-2,2,0.0,0,1,10,-1,9,0.0,26.70845336056118,0.0,1,-1
876,0,0.0,0.0,9,0.0,68,0.0,0,0,0.0,0,1,-20,0,-1,0.0,-2.5451990859037323,0.0,0,0
2857,0,0.0,0.0,5,0.0,69,0.0,0,2,0.0,0,1,20,0,-1,0.0,60.053392358742485,0.0,0,0
1748,0,0.0,0.0,-6,0.0,70,0.0,-2,3,0.0,0,1,0,0,5,0.0,38.71162519366317,0.0,0,-1
-1406,0,-0.5687924471391732,2.532438641140864,0,-0.08055555555555571,71,-9.781923471402369,2,2,0.0065330969570411845,0,1,0,-1,4,0.0021776989856803763,102.14023854081097,0.3515106535162016,1,0
-985,0,0.6,11.4,-7,14.99999,72,26.066666666666666,0,2,0.13333333333333333,2,1,0,0,1,0.0,166.1202209652306,0.06666666666666667,0,0
2240,0,-1.0096988259315978,-0.3347626339969372,1,7.7444444444444445,73,2.3259826442062277,-3,-1,0.39101582440020416,0,1,-15,0,-5,0.0,90.67608152918046,-0.08014293006636042,-1,0
191,0,-0.0813363350587889,9.969806443898166,2,-6.449999999999999,74,1.7295871554358762,3,1,0.1330770062157793,1,1,0,-1,2,1.38996138996139,-74.84333808798215,0.0,0,0
1986,0,-1.2637718729747247,-13.720838779836773,-11,-5.369999999999998,75,-40.248316618517755,-1,-1,-0.48606610499027875,-3,1,-10,-1,-2,-0.09721322099805575,24.93476359900251,-0.5832793259883345,1,0
209,0,0.8,-2.0,-1,0.0,76,-8.333333333333334,0,-1,0.4666666666666667,0,1,20,0,0,0.0,93.32716710571049,0.0,0,0
2775,0,-0.9465652699435942,19.579975825946818,-21,-1.9619047619047612,77,35.05036261079774,-2,2,0.49078364222401294,1,1,15,0,3,0.5147058823529412,47.97574600817302,0.12968372280419016,1,0
-657,0,-0.006185567010309284,-2.3841924398625434,7,10.15,78,-4.284536082474227,2,2,-0.2061855670103093,-1,1,-11,1,1,-0.2061855670103093,-292.37670471899435,0.0,0,1
759,0,-0.13333333333333333,-1.4,2,-14.99999,79,-3.2,-1,-5,-0.06666666666666667,-1,1,0,0,-3,0.0,-169.5825333885084,-0.6666666666666666,0,0
116,0,-0.2830188679245283,-3.9622641509433962,-8,-7.066656666666667,80,-9.339622641509434,-2,3,0.0,-1,1,10,0,0,-0.14150943396226415,100.0,0.0,0,0
-296,0,-0.8016032064128257,-0.5974605611608199,-18,-3.8166666666666664,81,2.9602998104003966,-4,3,-0.40080160320641284,0,1,0,0,5,-0.08016032064128256,33.761051837064315,0.03533534827113323,0,0
681,0,0.8695652173913044,1.7391304347826089,1,1.1499899999999998,82,6.086956521739131,0,0,0.0,0,1,-1,1,-2,0.0,204.57190054830835,0.0,-1,0
-408,0,1.1822660098522169,6.699507389162561,-3,7.61249,83,16.683087027914613,-2,-1,0.5254515599343186,2,1,0,2,2,0.13136288998357964,43.90510727954302,0.0,-1,0
1020,0,-0.26666666666666666,-2.1333333333333333,8,0.0,84,1.6000000000000005,8,0,-0.06666666666666667,-1,1,10,1,-4,0.06666666666666667,-267.92968232222654,0.0,0,-1
1694,0,0.2223728813559322,23.905084745762714,-6,-21.3125,85,28.2,-2,3,0.1511864406779661,4,1,0,-1,3,1.8983050847457628,462.6865736471409,-0.12,-1,0
-1576,0,0.8,3.7333333333333334,-7,14.99999,86,8.266666666666667,-1,1,0.4,0,1,20,1,2,0.0,33.059790158917394,0.0,0,0
-891,0,-1.0716875871687588,-5.597210599721059,-2,5.041666666666666,87,-8.955648535564853,1,3,-0.6700139470013947,-1,1,10,0,2,0.06666666666666667,-113.59788410209762,0.2,0,0
-2918,0,0.3042253521126761,3.0422535211267605,-11,9.861101111111111,88,5.273239436619718,-3,0,0.10140845070422536,1,1,-10,2,3,0.0,62.37053903394576,0.5070422535211268,-1,0
-1061,0,-0.7361963190184049,-0.7361963190184049,-8,-2.7166566666666667,89,-0.7361963190184049,-4,0,-0.36809815950920244,0,1,-35,-1,-5,0.0,-22.68897968204169,0.0,-1,0
-661,0,-1.0169491525423728,-1.2203389830508473,13,-4.916656666666667,90,-7.728813559322034,4,0,0.0,0,1,0,-1,-5,0.0,58.4218382977142,0.0,0,1
2543,0,-0.734680111247032,28.632609085531193,2,-4.066666666666666,91,51.63943755470672,0,5,0.9156733577277338,3,1,15,1,8,0.33243482706654215,305.6628697762453,0.6648696541330843,0,0
1956,0,-1.9480365278444398,0.9152629899256937,-24,-6.087500000000002,92,-3.137164116468938,1,3,-0.548633849571421,0,1,-10,0,3,0.0,61.7223936610726,0.21990586591547032,0,-1
-416,0,0.19553349875930515,0.08883374689826318,-8,-8.283333333333333,93,0.9621174524400331,2,3,-0.11778329197684037,-1,1,10,1,0,0.0,78.49325886951215,0.46220016542597187,0,0
-72,0,0.3256445047489824,-7.426110553949621,8,11.133333333333333,94,-4.66521149194738,3,1,0.0,0,1,1,1,1,0.0,-103.08408348142007,0.0,0,1
870,0,0.38620689655172413,2.445977011494253,-10,10.166666666666668,95,9.124137931034483,-6,1,-0.1402298850574713,0,1,0,0,4,0.06666666666666667,-159.73377404840699,0.0,0,-2
3642,0,-2.763366486595648,-9.204826576462867,-14,-0.09047619047619015,96,-21.368405109304796,1,0,-0.5086080678547988,-4,1,0,-1,-3,0.0,43.11228679720239,-0.20210026758216798,1,0
-3668,0,1.0713696568125426,16.06482277010633,3,1.3388888888888903,97,43.94528108654262,0,-1,0.348840805834118,3,1,10,2,-1,-0.012423619655094212,-89.61264933764733,0.5418966382338183,-1,0
-1078,0,0.0,0.0,-6,0.0,98,0.0,-1,-4,0.0,0,1,-15,0,-2,0.0,0.0,0.0,0,0
1537,0,0.09900069718800841,-1.4494538693934462,25,-6.7,99,2.1619800139437615,3,3,0.37090402045084825,-1,1,10,0,-2,-0.09063444108761329,21.063148035469,0.0,0,3
269,0,0.6174301675977654,12.928268156424583,-19,-10.083333333333334,100,30.607374301675982,-4,2,0.18815642458100557,2,1,0,0,4,-0.04,-121.29318688374724,0.2681564245810056,0,0
220,0,0.32967032967032966,1.978021978021978,-25,3.033323333333333,101,5.274725274725275,-13,2,0.32967032967032966,0,1,15,1,3,0.0,-100.0,0.0,0,0
887,0,-1.7548236353568976,-3.970258051561635,-14,-1.7416666666666663,102,-9.148569794398437,-8,-2,-0.08336020736612168,-1,1,-15,-2,-8,0.0,1.4267807473738685,0.07630197083001206,-1,0
-233,0,0.39999999999999997,4.8,-25,-13.5,103,2.1999999999999993,-11,-1,0.4666666666666666,-1,1,15,0,3,-0.13333333333333333,-121.22681495654547,0.0,0,0
1180,0,1.615564181669161,25.49096420285794,-7,-1.9430555555555546,104,49.52056653152135,-2,-1,1.3028277615050783,3,1,15,2,0,0.28951728033446184,146.15540325642746,0.5790345606689237,0,0
311,0,0.0,0.0,0,0.0,105,0.0,-6,2,0.0,0,1,0,0,1,0.0,-40.45809560588941,0.0,-1,1
-1093,0,0.9075630252100841,-2.9014005602240895,16,-5.083333333333334,106,-4.96358543417367,6,0,0.6050420168067228,-1,1,15,2,2,-0.06666666666666667,-96.53679138728967,0.0,0,2
-3473,0,0.6309751434034416,4.588910133843212,7,17.433323333333334,107,7.74378585086042,5,3,0.2294455066921606,0,1,15,2,3,0.0,16.15914200064367,0.17208413001912046,0,0
-731,0,-0.5101954653856248,5.599826557276037,13,-2.1833333333333336,108,13.461437520681905,1,0,-0.3017903396967035,1,1,-20,1,-1,0.0,210.43092895340465,0.0,-1,0
1300,0,-0.37394771821001327,-0.6775956284153009,-6,8.791666666666668,109,2.752916851277506,-3,1,-0.32137055087874766,1,1,-20,-1,-4,0.07207207207207207,38.96498759793917,0.14414414414414414,0,0
706,0,-0.07246376811594203,-3.333333333333333,3,-13.799990000000001,110,-6.3768115942028984,-1,-1,-0.07246376811594203,-1,1,0,0,0,-0.07246376811594203,-87.43388541322156,-0.14492753623188406,0,-1
754,0,-0.39252148227712136,-4.168501611170784,-21,-5.011111111111112,111,-9.696227175080558,-2,1,-0.19334049409237378,0,1,0,-2,4,0.0,251.23145148750928,-0.10251074113856068,-1,-1
628,0,0.10101010101010101,-10.709296533011118,-3,-0.6888888888888882,112,-40.326030504414554,-1,4,0.0,0,1,0,-1,3,0.0,-28.153779096794665,0.30303030303030304,0,-1
-509,0,-1.3496127862909868,-5.322095897182401,1,8.256666666666666,113,-9.048146317350469,-1,2,-0.45984511451639476,-2,1,0,-1,1,-0.29658922392486403,167.91058514522138,0.0,1,0
2375,0,-0.8209806157354618,-8.620296465222347,-6,-9.744434444444446,114,-20.83238312428734,-2,0,-0.20524515393386544,-2,1,7,-1,0,0.0,-265.75061586995525,0.0,0,-1
2133,0,0.25799386771791505,1.2812965396408234,9,-6.544444444444444,115,-2.1880858519491895,3,-1,0.45799386771791506,0,1,0,1,-3,0.11826544021024966,104.35594854222518,0.354796320630749,0,0
-1782,0,0.27289550891446623,27.515143308508232,3,-10.076666666666666,116,31.751252538930263,4,3,0.13644775445723312,5,1,15,-1,6,1.4218009478672984,357.91344677895677,0.20311442112389977,-1,0
576,0,0.40431266846361186,4.285714285714286,2,12.366656666666668,117,8.814016172506738,-1,0,0.2425876010781671,1,1,-25,1,1,0.08086253369272237,39.35632367354924,0.2425876010781671,1,0
-20,0,-1.1707317073170733,-4.097560975609756,5,-6.833323333333333,118,-7.75609756097561,-1,-2,-0.43902439024390244,-1,1,0,-1,3,-0.14634146341463417,-165.4133748636459,-0.7317073170731707,-1,0
419,0,0.0,0.0,-3,0.0,119,0.0,0,-4,0.0,0,1,0,0,-2,0.0,0.0,0.0,-1,0
-391,0,0.0,0.0,-2,0.0,120,0.0,-3,-1,0.0,0,1,0,0,-5,0.0,0.0,0.0,0,0
712,0,0.0,0.0,9,0.0,121,0.0,2,0,0.0,0,1,10,0,-2,0.0,0.0,0.0,0,-1
717,0,0.16,3.596363636363636,-2,24.266666666666666,122,7.112727272727272,1,2,0.08,1,1,0,0,-1,0.08,50.10474434309117,0.0,0,-1
1086,0,0.4213836477987422,-0.6477987421383644,-27,-13.675,123,-0.4528301886792452,-4,0,-0.26666666666666666,0,1,24,1,2,0.0,-29.43653824281955,2.130817610062893,-1,-1
193,0,1.178494623655914,-15.340501792114695,1,-2.4375,124,-37.43942652329749,-2,-3,0.6372759856630825,-2,1,0,0,-2,0.0,205.36565306765397,-0.4014336917562724,0,0
-1503,0,-0.008626355570161115,-13.666014399665404,8,7.672222222222224,125,-32.30831565739552,5,-2,-0.0945538194963105,-2,1,0,0,-1,-0.05157141576793237,-272.8385526474599,0.18048128342245986,1,0
1280,0,0.07004555808656043,0.09794988610478361,2,5.641666666666667,126,-0.634681093394077,-3,2,0.26808086560364464,1,1,10,0,1,0.0,-44.567670429659756,0.26808086560364464,0,0
-1225,0,0.01967213114754096,-1.26448087431694,14,4.833333333333334,127,-0.5071038251366131,1,-5,0.174863387978142,-1,1,-15,0,-6,0.0,-132.94232442473026,-0.09836065573770493,1,0
3758,0,0.0,-7.333333333333333,-3,-14.99999,128,-23.0,-1,0,0.0,0,1,0,-3,6,0.0,-118.07698989306164,-0.13333333333333333,0,0
-1627,0,0.0,0.0,-1,0.0,129,0.0,0,-1,0.0,0,1,-20,0,0,0.0,114.48701750594319,0.0,-1,0
888,0,2.9158961869131357,26.411891457831565,2,-2.8016666666666676,130,50.6836457362785,-1,2,2.366580097494932,5,1,40,0,6,0.6280149351684656,165.9295568639036,0.5938366210373152,0,0
1177,0,0.9387319977472041,0.6487850993643898,10,-2.8916666666666675,131,0.2918577520315395,0,3,0.38247244347896053,0,1,15,2,2,-0.06944444444444445,-32.66282512536577,0.46936599887360203,0,0
-733,0,-0.06959769454159731,-5.768374866942857,0,-3.3277777777777775,132,-11.724457664647785,3,2,-0.018136569480863868,-2,1,10,0,0,-0.16957136128120584,93.82400999538254,-0.018136569480863868,0,0
-1480,0,0.0,5.185185185185185,-14,1.34999,133,8.148148148148147,-1,-7,0.0,1,1,-27,0,-7,0.7407407407407407,164.3949275740456,0.0,0,0
1152,0,-0.6666666666666666,-4.866666666666666,6,-14.99999,134,-19.0,0,1,-0.13333333333333333,-1,1,0,-2,0,0.0,-389.8721495551208,0.0,0,0
217,0,1.1890999174236168,4.459124690338563,-16,10.091656666666667,135,7.927332782824112,-7,0,0.2972749793559042,2,1,-35,0,-2,0.0,386.552630680372,0.5945499587118084,0,-1
-1574,0,0.4,-1.0666666666666664,-8,0.0,136,-0.40000000000000036,0,1,0.4666666666666666,1,1,0,0,-1,0.06666666666666667,146.9972948336126,0.06666666666666668,1,0
-492,0,1.7775467775467773,9.355509355509355,-3,10.68887888888889,137,23.669438669438666,0,1,0.7484407484407484,1,1,20,2,4,0.0,210.37321728946972,0.0,0,0
-1595,0,-0.6936416184971098,-5.271676300578035,3,-7.208323333333333,138,-10.959537572254336,-1,0,-0.5549132947976879,-1,1,23,-1,4,-0.13872832369942198,-52.51509479086735,0.0,0,0
-1515,0,0.0,0.0,3,0.0,139,0.0,2,3,0.0,0,1,0,0,3,0.0,100.0,0.0,1,0
-961,0,0.6259783998933329,-6.735045605163482,11,-0.05000000000000071,140,-14.17804532368061,1,2,0.26884083378189527,-1,1,10,-1,0,-0.17738359201773835,125.0734083161467,-0.17698852833841153,-1,0
-740,0,0.0,12.464358452138493,-14,8.183323333333334,141,25.295315682281057,-3,-2,0.0,1,1,0,1,-3,0.12219959266802444,223.44476900700988,0.0,0,0
-1149,0,0.0,0.0,14,0.0,142,0.0,8,0,0.0,0,1,0,0,3,0.0,100.0,0.0,-1,1
217,0,-1.065631785708366,11.484228148983076,6,2.136111111111111,143,53.682118052677815,-1,-1,-0.3330736461734821,0,1,0,1,2,-0.10465116279069768,-244.27002276686187,-0.5232558139534884,0,1
-2337,0,-0.3562696912413359,25.49955891619408,2,-9.122222222222224,144,22.518714555765598,3,1,0.27359798361688725,5,1,0,-1,-1,1.0575929426591053,284.19826495008397,0.03679899180844362,-1,0
2994,0,-0.9289110508933018,-1.962457459919877,-23,-5.9377777777777805,145,-11.429086891522395,0,0,0.03365277337107542,0,1,-10,-2,1,0.0,-156.37473368693122,-0.11378721790252228,0,-1
-1549,0,0.0,3.057324840764331,14,2.6166566666666666,146,9.171974522292993,6,0,0.0,0,1,20,1,0,0.0,-256.46872277795364,0.0,-1,1
-232,0,0.9951302247292073,8.165341077004125,23,-2.341666666666667,147,15.606614671001067,2,3,0.21663432998830734,1,1,0,2,5,-0.17191977077363899,26.84506642801807,0.19427705038097315,-1,0
-483,0,-1.4322879330165246,-1.427126535059708,-2,-9.272222222222222,148,-7.8968606709296,0,1,-0.58073547314118,-2,1,-20,0,-1,0.4013377926421405,-101.02266278407637,0.0,-1,0
1059,0,0.0,0.0,3,0.0,149,0.0,-2,4,0.0,0,1,0,0,4,0.0,100.0,0.0,1,0
-2584,0,0.0,0.0,-6,0.0,150,0.0,0,0,0.0,0,1,-15,0,-3,0.0,-34.791171446603244,0.0,1,0
-1394,0,0.0,8.076328004125838,-8,10.772212222222224,151,19.68024755028365,-2,-1,0.0,2,1,0,1,0,0.0,261.67100801064635,0.09283135636926249,0,-2
2629,0,-0.6,-7.2,-16,-14.99999,152,-10.866666666666667,-3,-3,-0.4,-1,1,0,-1,-5,0.0,-27.623292018146003,0.0,0,-1
-637,0,0.602510460251046,18.87661173255913,-15,7.916666666666668,153,36.695756126718464,-4,2,0.301255230125523,3,1,-20,1,1,0.100418410041841,233.10150899603946,0.0,-1,-1
-191,0,-1.271966225237253,6.831270522859307,12,-10.016666666666667,154,22.591202684660626,4,-1,-0.15047089813444958,-1,1,0,0,-3,0.8108108108108107,-201.975507173187,-0.32042723631508674,1,3
23,0,0.3867742658596727,2.340103115893297,-7,-5.086666666666666,155,12.560636628558617,-3,3,-0.12633938578794002,1,1,15,2,2,0.20174848688634833,46.70224757073879,0.5385787939923784,-1,0
