age_days,ufc_draws,avg_takedowns_att_per_min,avg_sig_strikes_per_min,non_ufc_wins,avg_fight_duration_mins,id,avg_sig_strikes_att_per_min,non_ufc_losses,height_inches,avg_takedowns_per_min,ufc_wins,result,weight_lbs,ufc_losses,reach_inches,avg_knockdowns_per_min,elo,avg_submission_att_per_min,is_orthodox,non_ufc_draws
-87,0,0.6952380952380952,-1.9238095238095239,-3,11.5,156,-5.104761904761904,0,-2,0.18095238095238098,0,1,20,-1,-2,0.0,-55.05699769187413,-0.5714285714285714,-1,0
-831,0,0.9333333333333333,0.8,-4,14.99999,157,1.8666666666666667,-2,4,0.2,1,1,15,0,4,0.0,101.5350062260909,0.06666666666666667,-1,1
1336,0,0.5322638146167558,-3.49126559714795,-6,2.533333333333333,158,-5.216042780748662,-3,0,0.10623885918003564,0,1,0,-1,1,-0.16042780748663102,234.9438784336138,0.03957219251336899,-1,-1
-3192,0,-0.21052631578947367,-6.385964912280702,4,-14.24999,159,-15.508771929824562,0,-4,-0.07017543859649122,-2,1,-15,-1,0,-0.07017543859649122,-190.159273361465,-0.14035087719298245,0,0
-3110,0,0.7149708804385064,-0.7236039739636855,12,1.216666666666665,160,-9.058855772524836,6,-2,0.29331963001027755,0,1,0,1,-1,0.061664953751284696,-40.708294790551236,0.1849948612538541,0,0
-867,0,2.909886310944301,37.97853985116829,-7,0.7310606060606055,161,59.579904355670116,-3,2,2.184088110145312,7,1,15,0,6,0.3495120849028107,164.1199112062602,0.5343083889767292,0,0
-681,0,0.220212597175948,-5.485641757893066,-1,5.066666666666666,162,-25.656988735522766,0,0,0.41313660161827703,-1,1,1,0,2,-0.8211962557512295,-85.72658512506837,-0.8211962557512295,1,0
-1066,0,1.3702106064450648,9.86558921120013,3,9.653333333333332,163,18.078330008777797,2,1,0.6851053032225324,3,1,0,1,3,-0.13483571677457815,267.1352944610369,0.304491245876681,0,0
-1585,0,0.0,0.0,-3,0.0,164,0.0,-3,-3,0.0,0,1,20,0,-1,0.0,200.0,0.0,0,-1
-4,0,-1.4727272727272729,0.2159554730983304,-2,-15.066666666666666,165,-4.625231910946198,2,-1,-0.1090909090909091,-1,1,0,-1,-6,-0.1090909090909091,-240.3778621821466,-0.1090909090909091,0,0
-1345,0,0.0,0.0,6,0.0,166,0.0,5,-9,0.0,0,1,-15,0,-7,0.0,20.557756599635013,0.0,1,0
1111,0,0.0,-0.6593406593406593,4,-3.033323333333333,167,-1.6483516483516485,0,-1,0.0,-1,1,15,0,-5,0.0,-100.0,-0.6593406593406593,-1,0
-1432,0,-0.3786745057313888,8.956017868920735,8,-7.893809523809525,168,-15.972195659051621,2,-1,-0.010074392765920176,3,1,-20,-1,0,0.8130530973451328,355.7819887281489,-0.3080062935350506,-1,0
931,0,-0.37673578156183385,10.477340584961402,2,4.409722222222223,169,16.131764710817556,0,-1,-0.17171927977322232,1,1,0,1,-4,0.07182761372705507,-69.1694356485691,-0.2383137238040005,1,0
-1300,0,0.6871857755977927,1.4337216431637034,-1,-4.866666666666667,170,5.299325567136726,0,0,-0.34285714285714286,0,1,0,0,0,0.0,-73.9176344796333,0.0,1,0
-2266,0,-1.7880794701986753,-7.152317880794701,-10,-8.38887888888889,171,-19.549668874172184,-4,-1,-0.8344370860927152,0,1,-35,-3,-4,0.0,29.236805569455782,-0.23841059602649006,0,0
69,0,-0.5150214592274678,9.542654057577137,-16,-0.9750000000000001,172,11.95248226078188,-9,2,-0.5150214592274678,0,1,25,1,-1,0.0,-86.18294134340135,-0.5150214592274678,1,-1
530,0,-0.8316782522343593,1.780039721946376,19,-0.5333333333333341,173,4.076464746772595,7,-1,0.32274081429990076,-2,1,15,2,2,0.14150943396226415,1.696692390604312,-0.9210526315789473,1,2
-336,0,0.26666666666666666,2.3333333333333335,2,14.99999,174,5.733333333333333,0,5,0.2,0,1,0,1,4,0.0,-43.29759231131243,0.2,0,0
