date,location,id,url,name
"August 05, 2017","Mexico City, Distrito Federal, Mexico",44,http://www.fightmetric.com/event-details/f4a031ac205ac580,UFC Fight Night: Pettis vs. Moreno
"July 29, 2017","Anaheim, California, USA",45,http://www.fightmetric.com/event-details/ff9578cdbfabd323,UFC 214: Cormier vs. Jones 2
"July 22, 2017","Uniondale, New York, USA",46,http://www.fightmetric.com/event-details/9f3d6ddef3d3cccc,UFC Fight Night: Weidman vs. Gastelum
"July 16, 2017","Glasgow, Scotland, United Kingdom",47,http://www.fightmetric.com/event-details/d7907a9a968e4d29,UFC Fight Night: Nelson vs. Ponzinibbio
"July 08, 2017","Las Vegas, Nevada, USA",48,http://www.fightmetric.com/event-details/686cccbf1a4de453,UFC 213: Romero vs. Whittaker
"July 07, 2017","Las Vegas, Nevada, USA",49,http://www.fightmetric.com/event-details/23bd78c3f89bdb54,The Ultimate Fighter 25 Finale
"June 25, 2017","Oklahoma City, Oklahoma, USA",50,http://www.fightmetric.com/event-details/99bf06f20491cb54,UFC Fight Night: Chiesa vs. Lee
"June 17, 2017","Kallang, Singapore",51,http://www.fightmetric.com/event-details/353de740bb6c7e75,UFC Fight Night: Holm vs. Correia
"June 10, 2017","Auckland, New Zealand",52,http://www.fightmetric.com/event-details/90e7447d8b7f3f35,UFC Fight Night: Lewis vs. Hunt
"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil",53,http://www.fightmetric.com/event-details/1507214bbc7a79e2,UFC 212: Aldo vs. Holloway
"May 28, 2017","Stockholm, Sweden",54,http://www.fightmetric.com/event-details/1c7cce2f5c17160d,UFC Fight Night: Gustafsson vs. Teixeira
"May 13, 2017","Dallas, Texas, USA",55,http://www.fightmetric.com/event-details/5df10509264586e5,UFC 211: Miocic vs. Dos Santos
"April 22, 2017","Nashville, Tennessee, USA",56,http://www.fightmetric.com/event-details/bc7f7f0ba3db74d2,UFC Fight Night: Swanson vs. Lobov
"April 15, 2017","Kansas City, Missouri, USA",57,http://www.fightmetric.com/event-details/ed069a95aaaf4f56,UFC Fight Night: Johnson vs. Reis
"April 08, 2017","Buffalo, New York, USA",58,http://www.fightmetric.com/event-details/e7bfdb5e0112891e,UFC 210: Cormier vs. Johnson 2
"March 18, 2017","London, England, United Kingdom",59,http://www.fightmetric.com/event-details/c0231720fe516994,UFC Fight Night: Manuwa vs. Anderson
"March 11, 2017","Fortaleza, Ceara, Brazil",60,http://www.fightmetric.com/event-details/47b7e4e60813b7b2,UFC Fight Night: Belfort vs. Gastelum
"March 04, 2017","Las Vegas, Nevada, USA",61,http://www.fightmetric.com/event-details/20e403a1acfef130,UFC 209: Woodley vs. Thompson 2
"February 19, 2017","Halifax, Nova Scotia, Canada",62,http://www.fightmetric.com/event-details/b4ad3a06ee4d660c,UFC Fight Night: Lewis vs. Browne
"February 11, 2017","Brooklyn, New York, USA",63,http://www.fightmetric.com/event-details/865aa315ea62c511,UFC 208: Holm vs. De Randamie
"February 04, 2017","Houston, Texas, USA",64,http://www.fightmetric.com/event-details/6a8a06b542e1516d,UFC Fight Night: Bermudez vs. The Korean Zombie
"January 28, 2017","Denver, Colorado, USA",65,http://www.fightmetric.com/event-details/4512e46543b960ad,UFC Fight Night: Shevchenko vs. Pena
"January 15, 2017","Phoenix, Arizona, USA",66,http://www.fightmetric.com/event-details/46effbd1135423c5,UFC Fight Night: Rodriguez vs. Penn
"December 30, 2016","Las Vegas, Nevada, USA",67,http://www.fightmetric.com/event-details/4b2390cfaceb91d8,UFC 207: Nunes vs. Rousey
"December 17, 2016","Sacramento, California, USA",68,http://www.fightmetric.com/event-details/32541eb5d12668b4,UFC Fight Night: VanZant vs. Waterson
"December 10, 2016","Toronto, Ontario, Canada",69,http://www.fightmetric.com/event-details/6e3282d57d2467a0,UFC 206: Holloway vs. Pettis
"December 09, 2016","Albany, New York, USA",70,http://www.fightmetric.com/event-details/7139cd2ae4bf6a29,UFC Fight Night: Lewis vs. Abdurakhimov
"December 03, 2016","Las Vegas, Nevada, USA",71,http://www.fightmetric.com/event-details/bd4389b71fdc0ce2,The Ultimate Fighter 24 Finale
"November 26, 2016","Melbourne, Victoria, Australia",72,http://www.fightmetric.com/event-details/73e09f837f3b5ecc,UFC Fight Night: Whittaker vs. Brunson
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil",73,http://www.fightmetric.com/event-details/5cde96e0a1a1fffe,UFC Fight Night: Bader vs. Nogueira
"November 19, 2016","Belfast, Northern Ireland, United Kingdom",74,http://www.fightmetric.com/event-details/6810d8d2dd557cf9,UFC Fight Night: Mousasi vs. Hall 2
"November 12, 2016","New York City, New York, USA",75,http://www.fightmetric.com/event-details/4956f60b7fa57c1a,UFC 205: Alvarez vs McGregor
"November 05, 2016","Mexico City, Distrito Federal, Mexico",76,http://www.fightmetric.com/event-details/6083f497c22cc075,UFC Fight Night: Dos Anjos vs. Ferguson
"October 08, 2016","Manchester, England, United Kingdom",77,http://www.fightmetric.com/event-details/154a6b3ffae264cd,UFC 204: Bisping vs. Henderson
"October 01, 2016","Portland, Oregon, USA",78,http://www.fightmetric.com/event-details/a196332ee4aa8a82,UFC Fight Night: Lineker vs. Dodson
"September 24, 2016","Brasilia, Distrito Federal, Brazil",79,http://www.fightmetric.com/event-details/e18012194473e8b0,UFC Fight Night: Cyborg vs. Lansberg
"September 17, 2016","Hidalgo, Texas, USA",80,http://www.fightmetric.com/event-details/d6455cb4bee503ce,UFC Fight Night: Poirier vs. Johnson
"September 10, 2016","Cleveland, Ohio, USA",81,http://www.fightmetric.com/event-details/2dc7f1762dc0a7ef,UFC 203: Miocic vs. Overeem
"September 03, 2016","Hamburg, Hamburg, Germany",82,http://www.fightmetric.com/event-details/2b4faacc16d66898,UFC Fight Night: Arlovski vs. Barnett
"August 27, 2016","Vancouver, British Columbia, Canada",83,http://www.fightmetric.com/event-details/cfbccfed4e4796fe,UFC Fight Night: Maia vs. Condit
"August 20, 2016","Las Vegas, Nevada, USA",84,http://www.fightmetric.com/event-details/5da4e8dc02e50ac0,UFC 202: Diaz vs. McGregor 2
"August 06, 2016","Salt Lake City, Utah, USA",85,http://www.fightmetric.com/event-details/232c582f29f8f65e,UFC Fight Night: Rodriguez vs. Caceres
"July 30, 2016","Atlanta, Georgia, USA",86,http://www.fightmetric.com/event-details/72cbe507644a587c,UFC 201: Lawler vs. Woodley
"July 23, 2016","Chicago, Illinois, USA",87,http://www.fightmetric.com/event-details/8a028648f3f0761d,UFC Fight Night: Holm vs. Shevchenko
"July 13, 2016","Sioux Falls, South Dakota, USA",88,http://www.fightmetric.com/event-details/5e7a28f20927d64a,UFC Fight Night: McDonald vs. Lineker
"July 09, 2016","Las Vegas, Nevada, USA",89,http://www.fightmetric.com/event-details/aa5b4eff51bdc7d1,UFC 200: Tate vs Nunes
"July 08, 2016","Las Vegas, Nevada, USA",90,http://www.fightmetric.com/event-details/cd42bbe8887bba90,The Ultimate Fighter 23 Finale
"July 07, 2016","Las Vegas, Nevada, USA",91,http://www.fightmetric.com/event-details/45a2ba3ef82b9700,UFC Fight Night: Dos Anjos vs. Alvarez
"June 18, 2016","Ottawa, Ontario, Canada",92,http://www.fightmetric.com/event-details/563d051c9e769b24,UFC Fight Night: MacDonald vs Thompson
"June 04, 2016","Los Angeles, California, USA",93,http://www.fightmetric.com/event-details/ff4c3ab594c7fac3,UFC 199: Rockhold vs. Bisping 2
"May 29, 2016","Las Vegas, Nevada, USA",94,http://www.fightmetric.com/event-details/990060b2a68a7b82,UFC Fight Night: Almeida vs Garbrandt
"May 14, 2016","Curitiba, Parana, Brazil",95,http://www.fightmetric.com/event-details/a4bf17bd3ba3423b,UFC 198: Werdum vs Miocic
"May 08, 2016","Rotterdam, Zuid-Holland, Netherlands",96,http://www.fightmetric.com/event-details/a314687f372b2cec,UFC Fight Night: Overeem vs Arlovski
"April 23, 2016","Las Vegas, Nevada, USA",97,http://www.fightmetric.com/event-details/3d481aa374c954a1,UFC 197: Jones vs Saint Preux
"April 16, 2016","Tampa, Florida, USA",98,http://www.fightmetric.com/event-details/e7e970d508529bf3,UFC Fight Night: Teixeira vs Evans
"April 10, 2016","Zagreb, Croatia",99,http://www.fightmetric.com/event-details/4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs Dos Santos
"March 19, 2016","Brisbane, Queensland, Australia",100,http://www.fightmetric.com/event-details/e60201cfab7d656d,UFC Fight Night: Hunt vs Mir
"March 05, 2016","Las Vegas, Nevada, USA",101,http://www.fightmetric.com/event-details/db1f2ed63b54b9a7,UFC 196: McGregor vs Diaz
