nickname,id,name,url
"""Handz of Steel""",66,Geoff Neal,http://www.fightmetric.com/fighter-details/b997be68943010fc
"""The Crank""",67,Frank Camacho,http://www.fightmetric.com/fighter-details/764342d39cdaa54a
"""Kid Dynamite""",68,Charles Byrd,http://www.fightmetric.com/fighter-details/76ee3d666c648f6b
"""The Dentist""",69,Darren Stewart,http://www.fightmetric.com/fighter-details/a17ad5a5048e8c3f
"""Nightmare""",70,Diego Sanchez,http://www.fightmetric.com/fighter-details/82e7929bf6c2b689
"""The Thundercat""",71,Craig White,http://www.fightmetric.com/fighter-details/3dd949593346dbc3
"""A-10""",72,Jim Miller,http://www.fightmetric.com/fighter-details/d1941565abf50b16
"""The Spartan""",73,Alex White,http://www.fightmetric.com/fighter-details/c17041f1bb5768d8
,74,Irene Aldana,http://www.fightmetric.com/fighter-details/578ef12674df1e6a
"""Bullet""",75,Lucie Pudilova,http://www.fightmetric.com/fighter-details/3cf66c62d9069f43
"""Littlefury""",76,Roberto Sanchez,http://www.fightmetric.com/fighter-details/546f8599a63c29da
"""The Monkey God""",77,Jarred Brooks,http://www.fightmetric.com/fighter-details/81d9df19e255b8b6
"""The Highlight""",78,Justin Gaethje,http://www.fightmetric.com/fighter-details/9e8f6c728eb01124
"""The Texecutioner""",79,James Vick,http://www.fightmetric.com/fighter-details/6256b2b1562cb8e1
"""The Menace""",80,Michael Johnson,http://www.fightmetric.com/fighter-details/511e82663651438d
"""Touchy""",81,Andre Fili,http://www.fightmetric.com/fighter-details/8fd808923cffff82
"""Cast Iron""",82,Cortney Casey,http://www.fightmetric.com/fighter-details/5f179af5fffeb9f6
"""Overkill""",83,Angela Hill,http://www.fightmetric.com/fighter-details/f0feeb2192937424
"""The Juggernaut""",84,Jake Ellenberger,http://www.fightmetric.com/fighter-details/d81ac739417d7f53
"""Bam Bam""",85,Bryan Barberena,http://www.fightmetric.com/fighter-details/a331233f597090a5
"""Chicano""",86,John Moraga,http://www.fightmetric.com/fighter-details/92437c6775b3f7d1
"""Deus da Guerra""",87,Deiveson Figueiredo,http://www.fightmetric.com/fighter-details/aa72b0f831d0bfe5
"""The South Jersey Strangler""",88,Tim Williams,http://www.fightmetric.com/fighter-details/990bd63726a577f8
"""The""",89,James Krause,http://www.fightmetric.com/fighter-details/8f6a18831a120817
,90,Warlley Alves,http://www.fightmetric.com/fighter-details/d317a5e2b3f88c5f
,91,Cory Sandhagen,http://www.fightmetric.com/fighter-details/65f09bacd3957381
"""Marajo""",92,Iuri Alcantara,http://www.fightmetric.com/fighter-details/2f95a3c6d58b2aad
"""El Dirte""",93,Andrew Sanchez,http://www.fightmetric.com/fighter-details/fccf811c1e8b01c7
"""Maluko""",94,Markus Perez,http://www.fightmetric.com/fighter-details/2ac4628c08ec5125
,95,Mickey Gall,http://www.fightmetric.com/fighter-details/9e50097a89442158
"""The Silencer""",96,George Sullivan,http://www.fightmetric.com/fighter-details/6c7e25571490aa3b
"""JoJo""",97,Joanne Calderwood,http://www.fightmetric.com/fighter-details/12f91bfa8f1f723b
,98,Kalindra Faria,http://www.fightmetric.com/fighter-details/27b164b0d1833df0
,99,Drew Dober,http://www.fightmetric.com/fighter-details/519e4fe37ce9ff75
"""Super Saiyan""",100,Jon Tuck,http://www.fightmetric.com/fighter-details/53ec9cb470e1a4ea
,101,Rani Yahya,http://www.fightmetric.com/fighter-details/94527830000ab715
"""Cool Hand""",102,Luke Sanders,http://www.fightmetric.com/fighter-details/96428b9e9bd048ea
,103,TJ Dillashaw,http://www.fightmetric.com/fighter-details/c849740a3ff51931
"""No Love""",104,Cody Garbrandt,http://www.fightmetric.com/fighter-details/d8c7c61b176e3994
"""Mighty Mouse""",105,Demetrious Johnson,http://www.fightmetric.com/fighter-details/8a304bfd6bf04a57
"""The Messenger""",106,Henry Cejudo,http://www.fightmetric.com/fighter-details/056c493bbd76a918
,107,Cub Swanson,http://www.fightmetric.com/fighter-details/d247691a6c0e9034
"""Moicano""",108,Renato Moicano,http://www.fightmetric.com/fighter-details/b6452706b373eea1
"""Dama de Ferro""",109,Polyana Viana,http://www.fightmetric.com/fighter-details/9673a497a9da119a
,110,JJ Aldrich,http://www.fightmetric.com/fighter-details/6fd953151d981979
"""Trailblazer""",111,Kevin Holland,http://www.fightmetric.com/fighter-details/3a46b268013afede
"""The Young Punisher""",112,Pedro Munhoz,http://www.fightmetric.com/fighter-details/6bd02119599741a4
"""The Pikey""",113,Brett Johns,http://www.fightmetric.com/fighter-details/ec52462a1b41f714
,114,Ricky Simon,http://www.fightmetric.com/fighter-details/5987b2458f4b5290
"""Quik""",115,Montel Jackson,http://www.fightmetric.com/fighter-details/cc1a8b4b38b92c6d
,116,Ricardo Ramos,http://www.fightmetric.com/fighter-details/1ae8f3c723aacff4
"""Mr. Perfect""",117,Kyung Ho Kang,http://www.fightmetric.com/fighter-details/a7897d200692ab64
"""Robo""",118,Matt Sayles,http://www.fightmetric.com/fighter-details/5b8ba8f5512893b1
,119,Sheymon Moraes,http://www.fightmetric.com/fighter-details/0d62719b1dcf7c40
,120,Alex Perez,http://www.fightmetric.com/fighter-details/ab2b4ff41d6ebe0f
"""Shorty""",121,Jose Torres,http://www.fightmetric.com/fighter-details/d2036f31c035e0d1
"""Dynamite""",122,Danielle Taylor,http://www.fightmetric.com/fighter-details/b76c6268dc1d3c05
"""Magnum""",123,Weili Zhang,http://www.fightmetric.com/fighter-details/1ebe20ebbfa15e29
"""Chito""",124,Marlon Vera,http://www.fightmetric.com/fighter-details/7c7332319c14094c
"""Beast Master""",125,Wuliji Buren,http://www.fightmetric.com/fighter-details/2296125b6c362355
"""The Underground King""",126,Eddie Alvarez,http://www.fightmetric.com/fighter-details/33a331684283900f
"""The Diamond""",127,Dustin Poirier,http://www.fightmetric.com/fighter-details/029eaff01e6bb8f0
"""Junior""",128,Jose Aldo,http://www.fightmetric.com/fighter-details/d0f3959b4a9747e6
"""Lil' Heathen""",129,Jeremy Stephens,http://www.fightmetric.com/fighter-details/18968f97ad34f15c
,130,Joanna Jedrzejczyk,http://www.fightmetric.com/fighter-details/3d6749c4267da18f
"""The Tiny Tornado""",131,Tecia Torres,http://www.fightmetric.com/fighter-details/31ef8b67e13495b3
"""The Great""",132,Alexander Hernandez,http://www.fightmetric.com/fighter-details/262a7d06203657e6
"""The Canadian Gangster""",133,Olivier Aubin-Mercier,http://www.fightmetric.com/fighter-details/55ee431411ccf07a
"""Young Gun""",134,Jordan Mein,http://www.fightmetric.com/fighter-details/2aa49b3766a59bcd
"""The Great White""",135,Alex Morono,http://www.fightmetric.com/fighter-details/cdb96af67d096b1e
"""Mean""",136,Hakeem Dawodu,http://www.fightmetric.com/fighter-details/2c9d00968f818270
"""Golden Boy""",137,Austin Arnett,http://www.fightmetric.com/fighter-details/bf0e700106d00e55
,138,Islam Makhachev,http://www.fightmetric.com/fighter-details/275aca31f61ba28c
,139,Gadzhimurad Antigulov,http://www.fightmetric.com/fighter-details/af997f7611673880
"""The Hulk""",140,Ion Cutelaba,http://www.fightmetric.com/fighter-details/cd13728ae1151f46
"""The Bull""",141,John Makdessi,http://www.fightmetric.com/fighter-details/c21a036b4e012f1c
"""The Real Deal""",142,Ross Pearson,http://www.fightmetric.com/fighter-details/4f732e58ed907eff
,143,Alexis Davis,http://www.fightmetric.com/fighter-details/4c2d90e335e6df19
"""Blonde Fighter""",144,Katlyn Chookagian,http://www.fightmetric.com/fighter-details/e872e9a9a902c045
